 url,relevance,start_year,end_year,policy_name,local_government,state,code,excluded,number,declared
https://www.kimba.sa.gov.au/__data/assets/pdf_file/0019/381205/2.28-Climate-Change-Policy.pdf,1,2011,,Climate Change Adaptation Policy,District Council of Kimba,SA,Kimba,,88,
https://www.environment.sa.gov.au/files/sharedassets/public/climate-change/regional_adaptation_plans/ep-regional-climate-change-adaptation-plan.pdf,1,2014,,Regional Climate Change  Adaptation Plan for the  Eyre Peninsula ,District Council of Lower Eyre Peninsula,SA,LowerEyre,,89,
https://www.mountbarker.sa.gov.au/__data/assets/pdf_file/0026/449810/Mount-Barker-District-Climate-Change-Action-Plan-2019.pdf,1,2019,,Climate Change Action Plan,Mount Barker District Council,SA,MountBarker,,90,04/11/19
https://cdn.environment.sa.gov.au/environment/docs/northern-adelaide-climate-change-adaption-plan-gen.pdf,1,2015,,Planning for our changing climate,Multiple,SA,,deleted,91,
https://www.roxbydowns.sa.gov.au/__data/assets/pdf_file/0029/862454/Climate-Change-Policy.pdf,1,2021,,POLICY – CLIMATE CHANGE ,Municipal Council of Roxby Downs,SA,RoxbyDowns,,92,
https://www.murraybridge.sa.gov.au/__data/assets/pdf_file/0020/340661/Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016.pdf,1,2016,2021,Climate Change Adaptation Plan,Rural City of Murray Bridge,SA,MurrayBridge,,93,14/10/19
https://www.southernmallee.sa.gov.au/__data/assets/pdf_file/0038/974369/Southern-Mallee-District-Council-Environmental-Action-Plan_Final_.pdf,1,2021,2024,Environmental Action Plan,Southern Mallee District Council,SA,SouthernMallee,,94,
https://www.walkerville.sa.gov.au/__data/assets/pdf_file/0039/939837/Urban-Forest-Strategy.pdf,1,2019,,OUR URBAN FOREST,Town of Walkerville,SA,Walkerville,,95,
https://www.bodc.tas.gov.au/wp-content/uploads/2018/06/Final.BOD_.MMP_.Responding-to-Climate-Change.Sept-13.pdf,1,2013,,Responding to Climate Change Municipal Management Plan,Break O'Day Council,TAS,BreakODay,,96,
https://www.brighton.tas.gov.au/wp-content/uploads/2021/04/Brighton-CAP-compressed.pdf,1,2012,,Brighton Council Corporate Claimte Change Adaptation Plan,Brighton Council,TAS,Brighton ,,97,
https://www.brighton.tas.gov.au/wp-content/uploads/2019/07/Item-4.1-Climate-Change-and-Resilience-Strategy-12-11-19.pdf,1,2019,,Climate Change and Resilience Strategy ,Brighton Council,TAS,Brighton ,,98,
https://www.brighton.tas.gov.au/wp-content/uploads/2019/05/Climate-Change-and-Resilience-Strategy-Nov-2019.pdf,1,2019,,Climate Change and Resilience Strategy ,Brighton Council,TAS,Brighton ,,99,
https://www.centralcoast.tas.gov.au/wp-content/uploads/2016/11/Climate-Change-Action-Plan-2010-WEB.pdf,1,2010,,Climate Change Action Plan,Central Coast Council,TAS,CentralCoast,,100,26/08/19
https://www.centralcoast.tas.gov.au/wp-content/uploads/2020/12/10.13-Central-Coast-Council-Climate-Change-Strategy-and-Policy-June-2019.pdf,1,2019,,Central Coast Council Climate Change Strategy,Central Coast Council,TAS,CentralCoast,,101,26/08/19
https://www.pc.gov.au/inquiries/completed/climate-change-adaptation/submissions/sub010-attachment1.pdf,1,2009,,Climate Change Impacts on Clarence Coastal Areas - Final Reports,Clarence City Council,TAS,Clarence ,,102,
http://stca.tas.gov.au/wp-content/uploads/2019/12/CLARENCE-summary-community-energy-and-GHG-profile.pdf,1,2019,,Clarence City Council Community Energy Use and Greenhouse Gas Footprint Summary Report May 2019,Clarence City Council,TAS,Clarence ,,103,
http://gsbc.tas.gov.au/wp-content/uploads/2016/06/Glamorgan-Spring-Bay-Climate-Adaptation-Plan.pdf,1,2012,,Galmorgan Spring Bay Council Corporate Adaptation Plan,Glamorgan Spring Bay Council,TAS,Glamorgan ,,104,
https://www.gcc.tas.gov.au/wp-content/uploads/2020/11/climate-change-adaptation-plan.pdf,1,2012,,Corporate Climate Change Adaptation Plan,Glenorchy City Council ,TAS,Glenorchy ,,105,
https://www.huonvalley.tas.gov.au/wp-content/uploads/2020/07/17.012-Huon-Valley-Council-Climate-Change-Strategy-Part-A-Mitigation-Updated_-1.pdf,1,2020,,Climate Change Strategy Part A - Mitigation Plan,Huon Valley Council,TAS,Huon ,,106,
https://stca.tas.gov.au/wp-content/uploads/2019/12/HUON-VALLEY-community-energy-and-GHG-footprint.pdf,1,2019,,HUON VALLEY COUNCIL COMMUNITY ENERGY USE AND GREENHOUSE GAS FOOTPRINT SUMMARY REPORT MAY2019,Huon Valley Council,TAS,Huon ,,107,
https://www.kentish.tas.gov.au/__data/assets/pdf_file/0028/152884/Corporate-Climate-Change-Adaptation-Plan.pdf,1,2013,,Corporate Climate Change Adaptation Plan,Kentish Council,TAS,Kentish ,,108,
https://www.kingborough.tas.gov.au/wp-content/uploads/2019/06/Kingborough-Climate-Change-Plan.pdf,1,2019,2024,Climate Change Plan,Kingsborough Council ,TAS,Kingsborough ,,109,08/07/19
